*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;8206
1;1;8206
2;1;8206
3;1;8206
4;1;8206
5;1;8206
6;1;8206
7;1;8206
8;1;8206
9;1;8206
10;1;8206
11;1;8206
12;1;8206
13;1;8206
14;1;8206
15;1;8206
16;1;8206
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
2;262156;8196;8211;0:14:42:00;0:15:33:00;1;-
2;L262156;8211;8210;0:15:33:00;0:15:39:00;2;
2;L262156w;8210;8210;0:15:39:00;0:15:50:00;9;
2;327727;8210;8198;0:15:50:00;0:16:39:00;1;-
2;327727w;8198;8198;0:16:39:00;0:16:45:00;9;
2;327705;8198;8210;0:16:45:00;0:17:28:00;1;-
2;327705w;8210;8210;0:17:28:00;0:17:30:00;9;
2;327728;8210;8198;0:17:30:00;0:18:17:00;1;-
2;327728w;8198;8198;0:18:17:00;0:18:25:00;9;
2;327711;8198;8210;0:18:25:00;0:19:08:00;1;-
2;327711w;8210;8210;0:19:08:00;0:19:10:00;9;
2;327741;8210;8205;0:19:10:00;0:19:19:00;1;-
2;ZD327741;8205;8206;0:19:19:00;0:19:23:00;3;
3;VD327682;8206;8210;0:05:19:00;0:05:30:00;4;
3;327682;8210;8198;0:05:30:00;0:06:17:00;1;-
3;327682w;8198;8198;0:06:17:00;0:06:25:00;9;
3;327690;8198;8210;0:06:25:00;0:07:08:00;1;-
3;327690w;8210;8210;0:07:08:00;0:07:10:00;9;
3;327681;8210;8198;0:07:10:00;0:07:59:00;1;-
3;327681w;8198;8198;0:07:59:00;0:08:03:00;9;
3;327694;8198;8210;0:08:03:00;0:08:48:00;1;-
3;327694w;8210;8210;0:08:48:00;0:09:00:00;9;
3;327683;8210;8198;0:09:00:00;0:09:49:00;1;-
3;327683w;8198;8198;0:09:49:00;0:10:03:00;9;
3;327688;8198;8199;0:10:03:00;0:10:30:00;1;-
3;327688w;8199;8199;0:10:30:00;0:10:51:00;9;
3;327686;8199;8198;0:10:51:00;0:11:19:00;1;-
3;327686w;8198;8198;0:11:19:00;0:11:33:00;9;
3;327695;8198;8210;0:11:33:00;0:12:18:00;1;-
3;327695w;8210;8210;0:12:18:00;0:12:20:00;9;
3;458754;8210;8221;0:12:20:00;0:12:38:00;1;-
3;ZD458754;8221;8206;0:12:38:00;0:12:39:00;3;
3;VD589831;8206;8209;0:13:11:00;0:13:16:00;4;
3;589831;8209;8217;0:13:16:00;0:13:33:00;1;-
3;LW;8217;8221;0:13:33:00;0:13:39:00;2;
3;LWw;8221;8221;0:13:39:00;0:13:40:00;9;
3;458759;8221;8210;0:13:40:00;0:13:58:00;1;-
3;458759w;8210;8210;0:13:58:00;0:14:00:00;9;
3;327721;8210;8198;0:14:00:00;0:14:49:00;1;-
3;327721w;8198;8198;0:14:49:00;0:15:03:00;9;
3;327713;8198;8199;0:15:03:00;0:15:30:00;1;-
3;327713w;8199;8199;0:15:30:00;0:15:51:00;9;
3;327735;8199;8198;0:15:51:00;0:16:19:00;1;-
3;327735w;8198;8198;0:16:19:00;0:16:25:00;9;
3;327699;8198;8210;0:16:25:00;0:17:08:00;1;-
3;L327699;8210;8211;0:17:08:00;0:17:14:00;2;
3;L327699w;8211;8211;0:17:14:00;0:17:15:00;9;
3;262198;8211;8195;0:17:15:00;0:17:38:00;1;-
3;L262198;8195;8211;0:17:38:00;0:17:55:00;2;
3;262200;8211;8195;0:17:55:00;0:18:18:00;1;-
3;262200w;8195;8195;0:18:18:00;0:18:21:00;9;
3;262169;8195;8211;0:18:21:00;0:18:43:00;1;-
3;ZD262169;8211;8206;0:18:43:00;0:18:49:00;3;
4;VD327718;8206;8210;0:05:39:00;0:05:50:00;4;
4;327718;8210;8198;0:05:50:00;0:06:37:00;1;-
4;327718w;8198;8198;0:06:37:00;0:06:43:00;9;
4;327692;8198;8210;0:06:43:00;0:07:28:00;1;-
4;327692w;8210;8210;0:07:28:00;0:07:30:00;9;
4;327719;8210;8198;0:07:30:00;0:08:19:00;1;-
4;327719w;8198;8198;0:08:19:00;0:08:33:00;9;
4;327693;8198;8210;0:08:33:00;0:09:18:00;1;-
4;L327693;8210;8231;0:09:18:00;0:09:23:00;2;
4;L327693w;8231;8231;0:09:23:00;0:09:30:00;9;
4;791434;8231;8211;0:09:30:00;0:09:35:00;1;-
4;ZD791434;8211;8206;0:09:35:00;0:09:41:00;3;
4;VD791444;8206;8222;0:10:02:00;0:10:05:00;4;
4;791444;8222;8215;0:10:05:00;0:10:13:00;1;-
4;L791444;8215;8211;0:10:13:00;0:10:22:00;2;
4;L791444w;8211;8211;0:10:22:00;0:10:30:00;9;
4;196629;8211;8220;0:10:30:00;0:11:17:00;1;-
4;196629w;8220;8220;0:11:17:00;0:11:39:00;9;
4;196614;8220;8211;0:11:39:00;0:12:28:00;1;-
