*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
2;L198;297;292;0:12:08:00;0:12:11:00;2;
2;L198w;292;292;0:12:11:00;0:12:15:00;9;
2;425;292;228;0:12:15:00;0:12:55:00;1;
2;L425;228;101;0:12:55:00;0:13:08:00;2;
2;L425w;101;101;0:13:08:00;0:13:19:00;9;
2;13;101;558;0:13:19:00;0:13:53:00;1;
2;13w;558;558;0:13:53:00;0:14:01:00;9;
2;14;558;101;0:14:01:00;0:14:38:00;1;
2;ZD14;101;1;0:14:38:00;0:14:40:00;3;
2;VD257;1;292;0:14:52:00;0:15:15:00;4;
2;257;292;228;0:15:15:00;0:15:55:00;1;
2;L257;228;353;0:15:55:00;0:16:14:00;2;
2;L257w;353;353;0:16:14:00;0:16:23:00;9;
2;276;353;235;0:16:23:00;0:16:53:00;1;
2;276w;235;235;0:16:53:00;0:17:02:00;9;
2;277;235;353;0:17:02:00;0:17:32:00;1;
2;L277;353;101;0:17:32:00;0:17:56:00;2;
2;L277w;101;101;0:17:56:00;0:18:19:00;9;
2;63;101;558;0:18:19:00;0:18:53:00;1;
2;63w;558;558;0:18:53:00;0:19:01:00;9;
2;64;558;101;0:19:01:00;0:19:38:00;1;
2;L64;101;213;0:19:38:00;0:19:49:00;2;
2;L64w;213;213;0:19:49:00;0:19:52:00;9;
2;467;213;271;0:19:52:00;0:20:29:00;1;
2;467w;271;271;0:20:29:00;0:20:36:00;9;
2;247;271;403;0:20:36:00;0:20:55:00;1;
2;L247;403;500;0:20:55:00;0:20:59:00;2;
2;L247w;500;500;0:20:59:00;0:21:00:00;9;
2;526;500;364;0:21:00:00;0:21:23:00;1;
2;526w;364;364;0:21:23:00;0:21:32:00;9;
2;527;364;500;0:21:32:00;0:21:57:00;1;
2;ZD527;500;1;0:21:57:00;0:22:07:00;3;
2;VD628;1;213;0:22:29:00;0:22:38:00;4;
2;628;213;500;0:22:38:00;0:22:57:00;1;
2;628w;500;500;0:22:57:00;0:23:00:00;9;
2;565;500;353;0:23:00:00;0:23:24:00;1;
2;565w;353;353;0:23:24:00;0:23:37:00;9;
2;566;353;500;0:23:37:00;0:23:57:00;1;
2;ZD566;500;1;0:23:57:00;1:00:07:00;3;
3;VD23;1;266;0:04:46:00;0:05:08:00;4;
3;23;266;509;0:05:08:00;0:05:35:00;1;
3;L23;509;364;0:05:35:00;0:05:58:00;2;
3;L23w;364;364;0:05:58:00;0:06:01:00;9;
3;154;364;251;0:06:01:00;0:06:57:00;1;
3;154w;251;251;0:06:57:00;0:06:58:00;9;
3;155;251;364;0:06:58:00;0:07:53:00;1;
3;155w;364;364;0:07:53:00;0:08:01:00;9;
3;156;364;332;0:08:01:00;0:08:53:00;1;
3;156w;332;332;0:08:53:00;0:09:02:00;9;
3;157;332;364;0:09:02:00;0:09:53:00;1;
3;157w;364;364;0:09:53:00;0:10:01:00;9;
3;158;364;251;0:10:01:00;0:10:57:00;1;
3;158w;251;251;0:10:57:00;0:10:58:00;9;
3;159;251;364;0:10:58:00;0:11:53:00;1;
3;159w;364;364;0:11:53:00;0:12:01:00;9;
3;160;364;586;0:12:01:00;0:12:45:00;1;
3;ZD160;586;1;0:12:45:00;0:13:00:00;3;
3;VD445;1;586;0:13:28:00;0:13:38:00;4;
3;445;586;364;0:13:38:00;0:14:23:00;1;
3;445w;364;364;0:14:23:00;0:14:31:00;9;
3;446;364;586;0:14:31:00;0:15:15:00;1;
3;446w;586;586;0:15:15:00;0:15:38:00;9;
3;447;586;364;0:15:38:00;0:16:23:00;1;
3;447w;364;364;0:16:23:00;0:16:31:00;9;
3;448;364;586;0:16:31:00;0:17:15:00;1;
3;L448;586;500;0:17:15:00;0:17:28:00;2;
3;L448w;500;500;0:17:28:00;0:17:30:00;9;
3;509;500;518;0:17:30:00;0:17:48:00;1;
3;509w;518;518;0:17:48:00;0:18:03:00;9;
3;510;518;500;0:18:03:00;0:18:25:00;1;
3;510w;500;500;0:18:25:00;0:18:30:00;9;
3;511;500;461;0:18:30:00;0:18:54:00;1;
3;511w;461;461;0:18:54:00;0:18:55:00;9;
3;512;461;500;0:18:55:00;0:19:25:00;1;
3;L512;500;253;0:19:25:00;0:19:32:00;2;
3;L512w;253;253;0:19:32:00;0:19:34:00;9;
3;329;253;297;0:19:34:00;0:20:08:00;1;
3;L329;297;292;0:20:08:00;0:20:11:00;2;
3;L329w;292;292;0:20:11:00;0:20:30:00;9;
3;433;292;500;0:20:30:00;0:20:57:00;1;
3;433w;500;500;0:20:57:00;0:21:00:00;9;
3;539;500;228;0:21:00:00;0:21:11:00;1;
3;ZD539;228;1;0:21:11:00;0:21:23:00;3;
4;VD24;1;441;0:04:53:00;0:05:09:00;4;
4;24;441;509;0:05:09:00;0:05:33:00;1;
4;L24;509;558;0:05:33:00;0:06:00:00;2;
4;L24w;558;558;0:06:00:00;0:06:01:00;9;
4;134;558;101;0:06:01:00;0:06:38:00;1;
4;134w;101;101;0:06:38:00;0:06:49:00;9;
4;135;101;558;0:06:49:00;0:07:23:00;1;
4;135w;558;558;0:07:23:00;0:07:31:00;9;
4;136;558;101;0:07:31:00;0:08:08:00;1;
4;136w;101;101;0:08:08:00;0:08:19:00;9;
4;137;101;558;0:08:19:00;0:08:53:00;1;
4;137w;558;558;0:08:53:00;0:09:01:00;9;
4;138;558;101;0:09:01:00;0:09:38:00;1;
4;138w;101;101;0:09:38:00;0:09:49:00;9;
4;139;101;558;0:09:49:00;0:10:23:00;1;
4;139w;558;558;0:10:23:00;0:10:31:00;9;
4;140;558;101;0:10:31:00;0:11:08:00;1;
4;140w;101;101;0:11:08:00;0:11:19:00;9;
4;141;101;558;0:11:19:00;0:11:53:00;1;
4;141w;558;558;0:11:53:00;0:12:01:00;9;
4;142;558;101;0:12:01:00;0:12:38:00;1;
4;ZD142;101;1;0:12:38:00;0:12:40:00;3;
4;VD492;1;292;0:13:11:00;0:13:34:00;4;
4;492;292;509;0:13:34:00;0:14:00:00;1;
4;ZD492;509;1;0:14:00:00;0:14:02:00;3;
4;VD495;1;500;0:14:10:00;0:14:20:00;4;
4;495;500;324;0:14:20:00;0:14:43:00;1;
4;495w;324;324;0:14:43:00;0:14:45:00;9;
4;496;324;500;0:14:45:00;0:15:11:00;1;
4;L496;500;253;0:15:11:00;0:15:18:00;2;
4;L496w;253;253;0:15:18:00;0:15:34:00;9;
4;343;253;297;0:15:34:00;0:16:08:00;1;
4;L343;297;292;0:16:08:00;0:16:11:00;2;
4;L343w;292;292;0:16:11:00;0:16:15:00;9;
4;429;292;228;0:16:15:00;0:16:55:00;1;
4;ZD429;228;1;0:16:55:00;0:17:07:00;3;
4;VD430;1;228;0:17:16:00;0:17:28:00;4;
4;430;228;292;0:17:28:00;0:18:10:00;1;
4;430w;292;292;0:18:10:00;0:18:15:00;9;
4;431;292;228;0:18:15:00;0:18:55:00;1;
4;ZD431;228;1;0:18:55:00;0:19:07:00;3;
4;VD545;1;500;1:00:05:00;1:00:15:00;4;
4;545;500;312;1:00:15:00;1:00:45:00;1;
4;L545;312;500;1:00:45:00;1:01:11:00;2;
4;L545w;500;500;1:01:11:00;1:01:15:00;9;
4;555;500;602;1:01:15:00;1:01:37:00;1;
4;555w;602;602;1:01:37:00;1:01:38:00;9;
