*
* Diensttypen
*
$DUTY:DutyID;DutyType
41;day-Tripper
59;day-Tripper
102;day-Tripper
109;day-Tripper
117;day-Tripper
131;day-Tripper
171;day-Tripper
33077;day-Split
38202;day-Block30
47767;day-Split
48674;day-Split
60958;day-Tripper
62499;day-Split
62653;day-Split
75061;day-Split
76093;day-Block30
76351;day-Block30
77857;day-Block30
85564;day-Block30
94712;day-Split
96393;day-Block30
122492;day-Split
133911;day-Block30
142340;day-Split
144869;day-Block30
154512;day-Split
155352;day-Block30
158399;day-Split
159408;day-Block30
164247;day-Split
171980;day-Block20
175480;day-Split
178491;day-Split
178595;day-Split
190910;day-Split
193985;day-Block20
200847;day-Block30
201351;day-Block30
203881;day-Block20
209343;day-Split
210068;day-Block30
211373;day-Block30
218409;day-Tripper
219751;day-Block30
222880;day-Block20
227408;day-Split
244883;day-Split
245261;day-Block30
252747;day-Split
258001;day-Block30
263510;day-Split
263840;day-Split
276538;day-Split
278350;day-Block30
285212;day-Split
285381;day-Split
285567;day-Split
287426;day-Tripper
287795;day-Split
289050;day-Block20
291998;day-Split
294107;day-Block20
295145;day-Tripper
295856;day-Split
296411;day-Block30
297092;day-Block30
297442;day-Block20
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
131;20;298;364;586;0:07:31:00;0:08:15:00;1;
131;20;-1;586;586;0:08:15:00;0:08:38:00;9;
131;20;299;586;364;0:08:38:00;0:09:23:00;1;
131;20;-1;364;364;0:09:23:00;0:09:31:00;9;
131;20;300;364;586;0:09:31:00;0:10:15:00;1;
131;20;-1;586;586;0:10:15:00;0:10:38:00;9;
131;-1;-1;586;1;0:10:38:00;0:10:43:00;7;
131;-3;-1;1;-1;0:10:43:00;0:10:53:00;6;
171;-3;-1;-1;500;0:19:56:00;0:20:06:00;5;
171;-1;-1;500;500;0:20:06:00;0:20:11:00;7;
171;32;-1;500;101;0:20:11:00;0:20:19:00;2;
171;32;153;101;558;0:20:19:00;0:20:53:00;1;
171;32;-1;558;1;0:20:53:00;0:21:18:00;3;
171;-3;-1;1;-1;0:21:18:00;0:21:28:00;6;
33077;-3;-1;-1;1;0:04:56:00;0:05:06:00;5;
33077;6;-1;1;558;0:05:06:00;0:05:31:00;4;
33077;6;46;558;101;0:05:31:00;0:06:08:00;1;
33077;6;-1;101;1;0:06:08:00;0:06:10:00;3;
33077;6;-1;1;271;0:06:10:00;0:06:27:00;4;
33077;6;231;271;654;0:06:27:00;0:07:11:00;1;
33077;6;-1;654;253;0:07:11:00;0:07:33:00;2;
33077;6;-1;253;253;0:07:33:00;0:07:34:00;9;
33077;6;313;253;297;0:07:34:00;0:08:08:00;1;
33077;6;-1;297;292;0:08:08:00;0:08:11:00;2;
33077;6;-1;292;292;0:08:11:00;0:08:15:00;9;
33077;6;421;292;228;0:08:15:00;0:08:55:00;1;
33077;6;-1;228;300;0:08:55:00;0:09:01:00;2;
33077;6;-1;300;300;0:09:01:00;0:09:32:00;9;
33077;6;92;300;292;0:09:32:00;0:10:40:00;1;
33077;6;-1;292;297;0:10:40:00;0:10:44:00;2;
33077;6;-1;297;297;0:10:44:00;0:10:49:00;9;
33077;6;197;297;253;0:10:49:00;0:11:22:00;1;
33077;6;-1;253;1;0:11:22:00;0:11:27:00;3;
33077;-1;P;-1;-1;0:11:27:00;0:13:02:00;8;
33077;29;-1;1;353;0:13:02:00;0:13:23:00;4;
33077;29;272;353;235;0:13:23:00;0:13:53:00;1;
33077;29;-1;235;235;0:13:53:00;0:14:02:00;9;
33077;29;273;235;353;0:14:02:00;0:14:32:00;1;
33077;29;-1;353;353;0:14:32:00;0:14:53:00;9;
33077;29;274;353;620;0:14:53:00;0:15:27:00;1;
33077;29;-1;620;1;0:15:27:00;0:15:51:00;3;
33077;-3;-1;1;-1;0:15:51:00;0:16:01:00;6;
38202;-3;-1;-1;1;0:12:29:00;0:12:39:00;5;
38202;28;-1;1;101;0:12:39:00;0:12:49:00;4;
38202;28;143;101;558;0:12:49:00;0:13:23:00;1;
38202;28;-1;558;558;0:13:23:00;0:13:31:00;9;
38202;28;144;558;101;0:13:31:00;0:14:08:00;1;
38202;28;-1;101;1;0:14:08:00;0:14:10:00;3;
38202;-1;P;-1;-1;0:14:10:00;0:15:09:00;8;
38202;0;-1;1;101;0:15:09:00;0:15:19:00;4;
38202;0;59;101;558;0:15:19:00;0:15:53:00;1;
38202;0;-1;558;558;0:15:53:00;0:16:01:00;9;
38202;0;60;558;101;0:16:01:00;0:16:38:00;1;
38202;0;-1;101;586;0:16:38:00;0:16:50:00;2;
38202;0;-1;586;586;0:16:50:00;0:17:08:00;9;
38202;0;165;586;364;0:17:08:00;0:17:53:00;1;
38202;0;-1;364;364;0:17:53:00;0:18:01:00;9;
38202;0;166;364;586;0:18:01:00;0:18:45:00;1;
38202;0;-1;586;586;0:18:45:00;0:19:08:00;9;
38202;0;167;586;364;0:19:08:00;0:19:53:00;1;
38202;0;-1;364;364;0:19:53:00;0:20:01:00;9;
38202;0;168;364;500;0:20:01:00;0:20:27:00;1;
38202;0;-1;500;253;0:20:27:00;0:20:34:00;2;
38202;0;210;253;297;0:20:34:00;0:21:08:00;1;
38202;0;-1;297;1;0:21:08:00;0:21:28:00;3;
38202;-3;-1;1;-1;0:21:28:00;0:21:38:00;6;
47767;-3;-1;-1;1;0:05:44:00;0:05:54:00;5;
47767;11;-1;1;324;0:05:54:00;0:06:19:00;4;
47767;11;186;324;500;0:06:19:00;0:06:45:00;1;
47767;11;-1;500;500;0:06:45:00;0:06:53:00;9;
47767;11;187;500;324;0:06:53:00;0:07:16:00;1;
47767;11;-1;324;324;0:07:16:00;0:07:19:00;9;
47767;11;188;324;500;0:07:19:00;0:07:45:00;1;
47767;11;-1;500;500;0:07:45:00;0:07:53:00;9;
47767;11;189;500;324;0:07:53:00;0:08:16:00;1;
47767;11;-1;324;324;0:08:16:00;0:08:19:00;9;
47767;11;190;324;500;0:08:19:00;0:08:45:00;1;
47767;11;-1;500;654;0:08:45:00;0:09:07:00;2;
47767;11;-1;654;654;0:09:07:00;0:09:13:00;9;
47767;11;405;654;271;0:09:13:00;0:09:59:00;1;
47767;11;-1;271;271;0:09:59:00;0:10:06:00;9;
47767;11;406;271;441;0:10:06:00;0:10:38:00;1;
47767;11;-1;441;441;0:10:38:00;0:10:50:00;9;
47767;11;407;441;271;0:10:50:00;0:11:24:00;1;
47767;11;-1;271;271;0:11:24:00;0:11:27:00;9;
47767;11;408;271;213;0:11:27:00;0:12:02:00;1;
47767;11;-1;213;1;0:12:02:00;0:12:12:00;3;
47767;-1;P;-1;-1;0:12:12:00;0:14:02:00;8;
47767;25;-1;1;353;0:14:02:00;0:14:23:00;4;
47767;25;361;353;235;0:14:23:00;0:14:53:00;1;
47767;25;-1;235;235;0:14:53:00;0:15:02:00;9;
47767;25;362;235;353;0:15:02:00;0:15:32:00;1;
47767;25;-1;353;353;0:15:32:00;0:15:53:00;9;
47767;25;363;353;620;0:15:53:00;0:16:27:00;1;
47767;25;-1;620;620;0:16:27:00;0:16:28:00;9;
47767;25;364;620;353;0:16:28:00;0:17:02:00;1;
47767;25;-1;353;1;0:17:02:00;0:17:23:00;3;
47767;-3;-1;1;-1;0:17:23:00;0:17:33:00;6;
48674;-3;-1;-1;271;0:10:12:00;0:10:22:00;5;
48674;-1;-1;271;271;0:10:22:00;0:10:27:00;7;
48674;17;374;271;213;0:10:27:00;0:11:02:00;1;
48674;17;-1;213;228;0:11:02:00;0:11:24:00;2;
48674;17;-1;228;228;0:11:24:00;0:11:28:00;9;
48674;17;424;228;292;0:11:28:00;0:12:10:00;1;
48674;17;-1;292;297;0:12:10:00;0:12:14:00;2;
48674;17;-1;297;297;0:12:14:00;0:12:19:00;9;
48674;17;199;297;253;0:12:19:00;0:12:52:00;1;
48674;17;-1;253;253;0:12:52:00;0:13:04:00;9;
48674;17;200;253;297;0:13:04:00;0:13:38:00;1;
48674;17;-1;297;292;0:13:38:00;0:13:41:00;2;
48674;17;-1;292;292;0:13:41:00;0:13:45:00;9;
48674;17;289;292;300;0:13:45:00;0:14:31:00;1;
48674;17;-1;300;300;0:14:31:00;0:14:32:00;9;
48674;17;290;300;292;0:14:32:00;0:15:40:00;1;
48674;17;-1;292;292;0:15:40:00;0:15:45:00;9;
48674;17;291;292;300;0:15:45:00;0:16:31:00;1;
48674;17;-1;300;1;0:16:31:00;0:16:50:00;3;
48674;-1;P;-1;-1;0:16:50:00;0:19:16:00;8;
48674;13;-1;1;228;0:19:16:00;0:19:28:00;4;
48674;13;432;228;292;0:19:28:00;0:20:10:00;1;
48674;13;-1;292;297;0:20:10:00;0:20:14:00;2;
48674;13;-1;297;297;0:20:14:00;0:20:19:00;9;
48674;13;330;297;253;0:20:19:00;0:20:52:00;1;
48674;13;-1;253;1;0:20:52:00;0:20:57:00;3;
48674;-3;-1;1;-1;0:20:57:00;0:21:07:00;6;
60958;-3;-1;-1;1;0:23:55:00;1:00:05:00;5;
60958;4;-1;1;500;1:00:05:00;1:00:15:00;4;
60958;4;545;500;312;1:00:15:00;1:00:45:00;1;
60958;4;-1;312;500;1:00:45:00;1:01:11:00;2;
60958;4;-1;500;500;1:01:11:00;1:01:15:00;9;
60958;4;555;500;602;1:01:15:00;1:01:37:00;1;
60958;4;-1;602;602;1:01:37:00;1:01:38:00;9;
60958;4;556;602;500;1:01:38:00;1:02:13:00;1;
