*
* Diensttypen
*
$DUTY:DutyID;DutyType
5694;day-Block30
5728;day-Block30
14006;day-Split
19418;day-Split
20016;day-Split
21115;day-Split
22096;day-Split
25726;day-Block30
26644;day-Block30
27168;day-Block15
27719;day-Block20
28027;day-Split
29358;day-Block20
29477;day-Tripper
30333;day-Split
30358;day-Split
30595;day-Split
30622;day-Split
30747;day-Block20
30849;day-Block20
30944;day-Split
31235;day-Split
31641;day-Split
33673;day-Block20
33974;day-Split
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
19418;12;-1;8199;8199;0:14:30:00;0:14:51:00;9;
19418;12;327687;8199;8198;0:14:51:00;0:15:19:00;1;-
19418;12;-1;8198;8220;0:15:19:00;0:15:40:00;2;
19418;12;-1;8220;8220;0:15:40:00;0:15:42:00;9;
19418;12;196616;8220;8211;0:15:42:00;0:16:31:00;1;-
19418;12;-1;8211;8211;0:16:31:00;0:16:35:00;9;
19418;12;262196;8211;8195;0:16:35:00;0:16:58:00;1;-
19418;12;-1;8195;8195;0:16:58:00;0:17:01:00;9;
19418;12;262165;8195;8211;0:17:01:00;0:17:23:00;1;-
19418;12;-1;8211;8206;0:17:23:00;0:17:29:00;3;
19418;12;-1;8206;8211;0:17:29:00;0:17:35:00;4;
19418;12;262199;8211;8195;0:17:35:00;0:17:58:00;1;-
19418;12;-1;8195;8195;0:17:58:00;0:18:01:00;9;
19418;12;262168;8195;8211;0:18:01:00;0:18:23:00;1;-
19418;12;-1;8211;8206;0:18:23:00;0:18:29:00;3;
19418;-3;-1;8206;-1;0:18:29:00;0:18:39:00;6;
20016;-3;-1;-1;8206;0:13:03:00;0:13:13:00;5;
20016;6;-1;8206;8209;0:13:13:00;0:13:18:00;4;
20016;6;655365;8209;8217;0:13:18:00;0:13:35:00;1;-
20016;6;-1;8217;8206;0:13:35:00;0:13:41:00;3;
20016;-1;P;-1;-1;0:13:41:00;0:15:39:00;8;
20016;4;-1;8206;8211;0:15:39:00;0:15:45:00;4;
20016;4;262183;8211;8196;0:15:45:00;0:16:39:00;1;-
20016;4;-1;8196;8196;0:16:39:00;0:16:42:00;9;
20016;4;262149;8196;8211;0:16:42:00;0:17:33:00;1;-
20016;4;-1;8211;8211;0:17:33:00;0:17:45:00;9;
20016;4;262178;8211;8196;0:17:45:00;0:18:39:00;1;-
20016;4;-1;8196;8196;0:18:39:00;0:19:06:00;9;
20016;4;262151;8196;8211;0:19:06:00;0:19:51:00;1;-
20016;4;-1;8211;8211;0:19:51:00;0:20:05:00;9;
20016;4;262176;8211;8196;0:20:05:00;0:20:52:00;1;-
20016;4;-1;8196;8196;0:20:52:00;0:21:26:00;9;
20016;4;262153;8196;8211;0:21:26:00;0:22:12:00;1;-
20016;4;-1;8211;8206;0:22:12:00;0:22:18:00;3;
20016;-3;-1;8206;-1;0:22:18:00;0:22:28:00;6;
21115;-3;-1;-1;8206;0:10:09:00;0:10:19:00;5;
21115;5;-1;8206;8211;0:10:19:00;0:10:25:00;4;
21115;5;791436;8211;8231;0:10:25:00;0:10:30:00;1;-
21115;5;-1;8231;8206;0:10:30:00;0:10:35:00;3;
21115;-1;P;-1;-1;0:10:35:00;0:12:44:00;8;
21115;14;-1;8206;8221;0:12:44:00;0:12:45:00;4;
21115;14;458758;8221;8210;0:12:45:00;0:13:03:00;1;-
21115;14;-1;8210;8210;0:13:03:00;0:14:12:00;9;
21115;14;-1;8210;8211;0:14:12:00;0:14:18:00;2;
21115;14;-1;8211;8211;0:14:18:00;0:14:33:00;9;
21115;14;196631;8211;8220;0:14:33:00;0:15:20:00;1;-
21115;14;-1;8220;8195;0:15:20:00;0:15:34:00;2;
21115;14;-1;8195;8195;0:15:34:00;0:15:41:00;9;
21115;14;262160;8195;8211;0:15:41:00;0:16:03:00;1;-
21115;14;-1;8211;8195;0:16:03:00;0:16:20:00;2;
21115;14;-1;8195;8195;0:16:20:00;0:16:21:00;9;
