*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;0
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0
20;1;0
21;1;0
22;1;0
23;1;0
24;1;0
25;1;0
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
4;327699w;8210;8210;0:17:08:00;0:17:10:00;9;
4;327724;8210;8198;0:17:10:00;0:17:57:00;1;-
4;327724w;8198;8198;0:17:57:00;0:18:05:00;9;
4;327710;8198;8210;0:18:05:00;0:18:48:00;1;-
4;ZD327710;8210;0;0:18:48:00;0:18:58:00;3;
5;VD393218;0;8211;0:04:37:00;0:04:43:00;4;
5;393218;8211;8213;0:04:43:00;0:05:29:00;1;-
5;393249;8213;8211;0:05:29:00;0:06:16:00;1;-
5;393249w;8211;8211;0:06:16:00;0:06:23:00;9;
5;393222;8211;8213;0:06:23:00;0:07:09:00;1;-
5;L393222;8213;8198;0:07:09:00;0:07:20:00;2;
5;L393222w;8198;8198;0:07:20:00;0:07:21:00;9;
5;131100;8198;8206;0:07:21:00;0:08:11:00;1;-
5;ZD131100;8206;0;0:08:11:00;0:08:11:00;3;
5;VD65547;0;8206;0:08:58:00;0:08:58:00;4;
5;65547;8206;8204;0:08:58:00;0:09:38:00;1;-
5;65547w;8204;8204;0:09:38:00;0:09:48:00;9;
5;65576;8204;8206;0:09:48:00;0:10:25:00;1;-
5;ZD65576;8206;0;0:10:25:00;0:10:25:00;3;
5;VD65540;0;8206;0:10:58:00;0:10:58:00;4;
5;65540;8206;8204;0:10:58:00;0:11:38:00;1;-
5;65540w;8204;8204;0:11:38:00;0:11:48:00;9;
5;65580;8204;8206;0:11:48:00;0:12:25:00;1;-
5;ZD65580;8206;0;0:12:25:00;0:12:25:00;3;
5;VD393238;0;8211;0:12:57:00;0:13:03:00;4;
5;393238;8211;8213;0:13:03:00;0:13:49:00;1;-
5;393238w;8213;8213;0:13:49:00;0:14:09:00;9;
5;393268;8213;8211;0:14:09:00;0:14:56:00;1;-
5;393268w;8211;8211;0:14:56:00;0:15:03:00;9;
5;393242;8211;8213;0:15:03:00;0:15:49:00;1;-
5;393262;8213;8211;0:15:49:00;0:16:36:00;1;-
5;ZD393262;8211;0;0:16:36:00;0:16:42:00;3;
5;VD262197;0;8211;0:16:49:00;0:16:55:00;4;
5;262197;8211;8195;0:16:55:00;0:17:18:00;1;-
5;262197w;8195;8195;0:17:18:00;0:17:21:00;9;
5;262167;8195;8211;0:17:21:00;0:17:43:00;1;-
5;262167w;8211;8211;0:17:43:00;0:17:45:00;9;
5;262178;8211;8196;0:17:45:00;0:18:39:00;1;-
5;262178w;8196;8196;0:18:39:00;0:19:06:00;9;
5;262151;8196;8211;0:19:06:00;0:19:51:00;1;-
5;262151w;8211;8211;0:19:51:00;0:20:05:00;9;
5;262176;8211;8196;0:20:05:00;0:20:52:00;1;-
5;262176w;8196;8196;0:20:52:00;0:20:56:00;9;
5;LW;8196;8225;0:20:56:00;0:20:56:00;2;
5;LWw;8225;8225;0:20:56:00;0:21:06:00;9;
5;262201;8225;8194;0:21:06:00;0:21:20:00;1;-
5;196611;8194;8234;0:21:20:00;0:21:43:00;1;-
5;ZD196611;8234;0;0:21:43:00;0:21:45:00;3;
6;VD262179;0;8211;0:04:39:00;0:04:45:00;4;
6;262179;8211;8196;0:04:45:00;0:05:32:00;1;-
6;262179w;8196;8196;0:05:32:00;0:05:42:00;9;
6;262150;8196;8211;0:05:42:00;0:06:33:00;1;-
6;262150w;8211;8211;0:06:33:00;0:06:43:00;9;
6;393223;8211;8213;0:06:43:00;0:07:29:00;1;-
6;393250;8213;8211;0:07:29:00;0:08:16:00;1;-
6;393250w;8211;8211;0:08:16:00;0:08:25:00;9;
6;262172;8211;8196;0:08:25:00;0:09:19:00;1;-
6;262172w;8196;8196;0:09:19:00;0:09:42:00;9;
6;262147;8196;8211;0:09:42:00;0:10:33:00;1;-
6;262147w;8211;8211;0:10:33:00;0:10:43:00;9;
6;393233;8211;8213;0:10:43:00;0:11:29:00;1;-
6;393252;8213;8211;0:11:29:00;0:12:16:00;1;-
6;393252w;8211;8211;0:12:16:00;0:12:23:00;9;
6;393236;8211;8213;0:12:23:00;0:13:09:00;1;-
6;393236w;8213;8213;0:13:09:00;0:13:29:00;9;
6;393253;8213;8211;0:13:29:00;0:14:16:00;1;-
6;393253w;8211;8211;0:14:16:00;0:14:23:00;9;
6;393240;8211;8213;0:14:23:00;0:15:09:00;1;-
6;393240w;8213;8213;0:15:09:00;0:15:29:00;9;
6;393254;8213;8211;0:15:29:00;0:16:16:00;1;-
6;393254w;8211;8211;0:16:16:00;0:16:23:00;9;
6;393244;8211;8213;0:16:23:00;0:17:09:00;1;-
6;393244w;8213;8213;0:17:09:00;0:17:29:00;9;
6;393255;8213;8211;0:17:29:00;0:18:16:00;1;-
6;ZD393255;8211;0;0:18:16:00;0:18:22:00;3;
6;VD65562;0;8206;0:18:38:00;0:18:38:00;4;
6;65562;8206;8204;0:18:38:00;0:19:18:00;1;-
6;65562w;8204;8204;0:19:18:00;0:19:28:00;9;
6;65589;8204;8206;0:19:28:00;0:20:05:00;1;-
6;ZD65589;8206;0;0:20:05:00;0:20:05:00;3;
7;VD393286;0;8201;0:04:48:00;0:05:05:00;4;
7;393286;8201;8211;0:05:05:00;0:05:36:00;1;-
7;393286w;8211;8211;0:05:36:00;0:05:43:00;9;
7;393221;8211;8213;0:05:43:00;0:06:29:00;1;-
7;393278;8213;8211;0:06:29:00;0:07:16:00;1;-
7;393278w;8211;8211;0:07:16:00;0:07:23:00;9;
7;393225;8211;8213;0:07:23:00;0:08:09:00;1;-
7;393265;8213;8211;0:08:09:00;0:08:56:00;1;-
7;393265w;8211;8211;0:08:56:00;0:09:03:00;9;
7;393229;8211;8213;0:09:03:00;0:09:49:00;1;-
7;393259;8213;8211;0:09:49:00;0:10:36:00;1;-
7;393259w;8211;8211;0:10:36:00;0:10:45:00;9;
7;262173;8211;8196;0:10:45:00;0:11:39:00;1;-
7;262173w;8196;8196;0:11:39:00;0:12:02:00;9;
7;262148;8196;8211;0:12:02:00;0:12:53:00;1;-
7;L262148;8211;8210;0:12:53:00;0:12:59:00;2;
7;L262148w;8210;8210;0:12:59:00;0:13:00:00;9;
7;327684;8210;8198;0:13:00:00;0:13:49:00;1;-
7;327684w;8198;8198;0:13:49:00;0:14:03:00;9;
7;327689;8198;8199;0:14:03:00;0:14:30:00;1;-
7;327689w;8199;8199;0:14:30:00;0:14:31:00;9;
7;393363;8199;8207;0:14:31:00;0:14:47:00;1;-
7;393363w;8207;8207;0:14:47:00;0:14:51:00;9;
7;393332;8207;8199;0:14:51:00;0:15:09:00;1;-
7;393332w;8199;8199;0:15:09:00;0:15:11:00;9;
7;393365;8199;8207;0:15:11:00;0:15:27:00;1;-
7;393365w;8207;8207;0:15:27:00;0:15:31:00;9;
7;393320;8207;8199;0:15:31:00;0:15:49:00;1;-
7;393320w;8199;8199;0:15:49:00;0:15:51:00;9;
7;393367;8199;8207;0:15:51:00;0:16:07:00;1;-
7;393367w;8207;8207;0:16:07:00;0:16:11:00;9;
7;393308;8207;8199;0:16:11:00;0:16:29:00;1;-
7;393308w;8199;8199;0:16:29:00;0:16:31:00;9;
7;393369;8199;8207;0:16:31:00;0:16:47:00;1;-
7;393369w;8207;8207;0:16:47:00;0:16:51:00;9;
7;393334;8207;8199;0:16:51:00;0:17:09:00;1;-
7;393334w;8199;8199;0:17:09:00;0:17:11:00;9;
7;393371;8199;8207;0:17:11:00;0:17:27:00;1;-
7;393371w;8207;8207;0:17:27:00;0:17:31:00;9;
7;393322;8207;8199;0:17:31:00;0:17:49:00;1;-
7;393322w;8199;8199;0:17:49:00;0:17:51:00;9;
7;393373;8199;8207;0:17:51:00;0:18:07:00;1;-
7;ZD393373;8207;0;0:18:07:00;0:18:13:00;3;
7;VD131083;0;8206;0:18:46:00;0:18:46:00;4;
7;131083;8206;8198;0:18:46:00;0:19:36:00;1;-
7;131083w;8198;8198;0:19:36:00;0:19:51:00;9;
7;131098;8198;8206;0:19:51:00;0:20:41:00;1;-
7;ZD131098;8206;0;0:20:41:00;0:20:41:00;3;
8;VD393219;0;8211;0:04:57:00;0:05:03:00;4;
8;393219;8211;8213;0:05:03:00;0:05:49:00;1;-
8;393257;8213;8211;0:05:49:00;0:06:36:00;1;-
8;393257w;8211;8211;0:06:36:00;0:06:45:00;9;
8;262180;8211;8196;0:06:45:00;0:07:39:00;1;-
8;262180w;8196;8196;0:07:39:00;0:07:42:00;9;
8;262152;8196;8211;0:07:42:00;0:08:33:00;1;-
8;262152w;8211;8211;0:08:33:00;0:08:43:00;9;
8;393228;8211;8213;0:08:43:00;0:09:29:00;1;-
8;393251;8213;8211;0:09:29:00;0:10:16:00;1;-
8;393251w;8211;8211;0:10:16:00;0:10:23:00;9;
8;393232;8211;8213;0:10:23:00;0:11:09:00;1;-
8;393232w;8213;8213;0:11:09:00;0:11:49:00;9;
8;393260;8213;8211;0:11:49:00;0:12:36:00;1;-
8;393260w;8211;8211;0:12:36:00;0:12:43:00;9;
8;393237;8211;8213;0:12:43:00;0:13:29:00;1;-
8;393237w;8213;8213;0:13:29:00;0:13:49:00;9;
8;393261;8213;8211;0:13:49:00;0:14:36:00;1;-
8;393261w;8211;8211;0:14:36:00;0:14:43:00;9;
8;393241;8211;8213;0:14:43:00;0:15:29:00;1;-
8;393241w;8213;8213;0:15:29:00;0:16:09:00;9;
8;393269;8213;8211;0:16:09:00;0:16:56:00;1;-
8;ZD393269;8211;0;0:16:56:00;0:17:02:00;3;
8;VD262198;0;8211;0:17:09:00;0:17:15:00;4;
8;262198;8211;8195;0:17:15:00;0:17:38:00;1;-
8;262198w;8195;8195;0:17:38:00;0:17:41:00;9;
8;262162;8195;8211;0:17:41:00;0:18:03:00;1;-
8;262162w;8211;8211;0:18:03:00;0:18:05:00;9;
8;262186;8211;8193;0:18:05:00;0:19:03:00;1;-
8;262186w;8193;8193;0:19:03:00;0:19:22:00;9;
8;262161;8193;8211;0:19:22:00;0:20:12:00;1;-
8;262161w;8211;8211;0:20:12:00;0:20:15:00;9;
8;262184;8211;8196;0:20:15:00;0:21:02:00;1;-
8;262184w;8196;8196;0:21:02:00;0:21:26:00;9;
8;262153;8196;8211;0:21:26:00;0:22:12:00;1;-
8;262153w;8211;8211;0:22:12:00;0:22:15:00;9;
8;393294;8211;8213;0:22:15:00;0:22:56:00;1;-
