*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
1;556;602;500;1:01:38:00;1:02:13:00;1;
1;556w;500;500;1:02:13:00;1:02:15:00;9;
1;620;500;235;1:02:15:00;1:02:25:00;1;
1;620w;235;235;1:02:25:00;1:02:33:00;9;
1;621;235;500;1:02:33:00;1:02:43:00;1;
1;621w;500;500;1:02:43:00;1:02:45:00;9;
1;646;500;558;1:02:45:00;1:03:07:00;1;
1;646w;558;558;1:03:07:00;1:03:18:00;9;
1;647;558;500;1:03:18:00;1:03:43:00;1;
1;647w;500;500;1:03:43:00;1:03:45:00;9;
1;625;500;253;1:03:45:00;1:03:54:00;1;
1;ZD625;253;1;1:03:54:00;1:03:59:00;3;
2;VD2;1;558;0:04:36:00;0:05:01:00;4;
2;2;558;101;0:05:01:00;0:05:38:00;1;
2;L2;101;297;0:05:38:00;0:06:00:00;2;
2;L2w;297;297;0:06:00:00;0:06:19:00;9;
2;191;297;253;0:06:19:00;0:06:52:00;1;
2;191w;253;253;0:06:52:00;0:07:04:00;9;
2;192;253;297;0:07:04:00;0:07:38:00;1;
2;L192;297;292;0:07:38:00;0:07:41:00;2;
2;L192w;292;292;0:07:41:00;0:07:45:00;9;
2;283;292;300;0:07:45:00;0:08:31:00;1;
2;283w;300;300;0:08:31:00;0:08:32:00;9;
2;284;300;292;0:08:32:00;0:09:40:00;1;
2;284w;292;292;0:09:40:00;0:09:45:00;9;
2;285;292;300;0:09:45:00;0:10:31:00;1;
2;285w;300;300;0:10:31:00;0:10:32:00;9;
2;286;300;292;0:10:32:00;0:11:40:00;1;
2;286w;292;292;0:11:40:00;0:11:45:00;9;
2;287;292;300;0:11:45:00;0:12:31:00;1;
2;287w;300;300;0:12:31:00;0:12:32:00;9;
2;288;300;292;0:12:32:00;0:13:40:00;1;
2;L288;292;297;0:13:40:00;0:13:44:00;2;
2;L288w;297;297;0:13:44:00;0:13:49:00;9;
2;201;297;253;0:13:49:00;0:14:22:00;1;
2;201w;253;253;0:14:22:00;0:14:34:00;9;
2;202;253;297;0:14:34:00;0:15:08:00;1;
2;202w;297;297;0:15:08:00;0:15:19:00;9;
2;203;297;253;0:15:19:00;0:15:52:00;1;
2;203w;253;253;0:15:52:00;0:16:04:00;9;
2;204;253;297;0:16:04:00;0:16:38:00;1;
2;204w;297;297;0:16:38:00;0:16:49:00;9;
2;205;297;253;0:16:49:00;0:17:22:00;1;
2;ZD205;253;1;0:17:22:00;0:17:27:00;3;
2;VD449;1;586;0:17:28:00;0:17:38:00;4;
2;449;586;364;0:17:38:00;0:18:23:00;1;
2;449w;364;364;0:18:23:00;0:18:31:00;9;
2;450;364;586;0:18:31:00;0:19:15:00;1;
2;450w;586;586;0:19:15:00;0:19:38:00;9;
2;451;586;364;0:19:38:00;0:20:23:00;1;
2;451w;364;364;0:20:23:00;0:20:31:00;9;
2;452;364;500;0:20:31:00;0:20:57:00;1;
2;452w;500;500;0:20:57:00;0:21:00:00;9;
2;547;500;602;0:21:00:00;0:21:22:00;1;
2;547w;602;602;0:21:22:00;0:21:23:00;9;
2;548;602;500;0:21:23:00;0:21:58:00;1;
2;548w;500;500;0:21:58:00;0:22:00:00;9;
2;541;500;300;0:22:00:00;0:22:17:00;1;
2;541w;300;300;0:22:17:00;0:22:18:00;9;
2;542;300;500;0:22:18:00;0:22:52:00;1;
2;542w;500;500;0:22:52:00;0:23:00:00;9;
2;551;500;602;0:23:00:00;0:23:22:00;1;
2;551w;602;602;0:23:22:00;0:23:23:00;9;
2;552;602;500;0:23:23:00;0:23:58:00;1;
2;552w;500;500;0:23:58:00;1:00:15:00;9;
2;654;500;147;1:00:15:00;1:00:54:00;1;
2;ZD654;147;1;1:00:54:00;1:01:17:00;3;
