*
* Diensttypen
*
$DUTY:DutyID;DutyType
s18;day-Tripper
s19;day-Tripper
s57;day-Tripper
s19030;day-Block30
s54001;day-Block30
s60271;day-Block30
s74815;day-Split90-225
s74939;day-Split90-225
s89821;day-Split90-225
s91825;day-Split90-225
4;day-Split90-225
9;day-Split90-225
16;day-Block30
17;day-Block30
30;day-Block30
4077;day-Block30
28634;day-Block30
28742;day-Block30
30330;day-Split90-225
31602;day-Split90-225
42096;day-Block30
47549;day-Block30
52432;day-Block30
53469;day-Block30
55510;day-Block30
55800;day-Block30
56849;day-Block30
58036;day-Block30
58094;day-Block30
59449;day-Block30
60536;day-Block30
61813;day-Block30
62085;day-Split90-225
62578;day-Split90-225
62816;day-Split226-360
65482;day-Block30
65647;day-Split90-225
65721;day-Split226-360
65934;day-Block30
66481;day-Block30
66610;day-Split90-225
66953;day-Split90-225
67443;day-Split226-360
67462;day-Split226-360
67477;day-Split226-360
67490;day-Split226-360
67567;day-Split226-360
67593;day-Block30
67603;day-Block30
67614;day-Block30
67776;day-Block30
68201;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
s19030;16;-1;8204;8204;0:12:58:00;0:13:08:00;9;
s19030;16;65582;8204;8206;0:13:08:00;0:13:45:00;1;-
s19030;16;-1;8206;0;0:13:45:00;0:13:45:00;3;
s19030;-3;-1;0;-1;0:13:45:00;0:13:55:00;6;
s54001;-3;-1;-1;8213;0:09:34:00;0:09:44:00;5;
s54001;-1;-1;8213;8213;0:09:44:00;0:09:49:00;7;
s54001;7;393259;8213;8211;0:09:49:00;0:10:36:00;1;-
s54001;7;-1;8211;8211;0:10:36:00;0:10:45:00;9;
s54001;7;262173;8211;8196;0:10:45:00;0:11:39:00;1;-
s54001;7;-1;8196;8196;0:11:39:00;0:12:02:00;9;
s54001;7;262148;8196;8211;0:12:02:00;0:12:53:00;1;-
s54001;7;-1;8211;8210;0:12:53:00;0:12:59:00;2;
s54001;7;-1;8210;8210;0:12:59:00;0:13:00:00;9;
s54001;7;327684;8210;8198;0:13:00:00;0:13:49:00;1;-
s54001;7;-1;8198;8198;0:13:49:00;0:14:03:00;9;
s54001;7;327689;8198;8199;0:14:03:00;0:14:30:00;1;-
s54001;7;-1;8199;8199;0:14:30:00;0:14:51:00;9;
s54001;7;327687;8199;8198;0:14:51:00;0:15:19:00;1;-
s54001;7;-1;8198;8198;0:15:19:00;0:15:51:00;9;
s54001;7;131094;8198;8206;0:15:51:00;0:16:41:00;1;-
s54001;7;-1;8206;0;0:16:41:00;0:16:41:00;3;
s54001;-1;P;-1;-1;0:16:41:00;0:17:38:00;8;
s54001;13;-1;0;8206;0:17:38:00;0:17:38:00;4;
s54001;13;65552;8206;8204;0:17:38:00;0:18:18:00;1;-
s54001;13;-1;8204;8204;0:18:18:00;0:18:28:00;9;
s54001;13;65588;8204;8206;0:18:28:00;0:19:05:00;1;-
s54001;13;-1;8206;0;0:19:05:00;0:19:05:00;3;
s54001;-3;-1;0;-1;0:19:05:00;0:19:15:00;6;
s60271;-3;-1;-1;8211;0:16:18:00;0:16:28:00;5;
s60271;-1;-1;8211;8211;0:16:28:00;0:16:33:00;7;
s60271;2;196632;8211;8220;0:16:33:00;0:17:20:00;1;-
s60271;2;-1;8220;8220;0:17:20:00;0:17:39:00;9;
s60271;2;196617;8220;8211;0:17:39:00;0:18:28:00;1;-
s60271;2;-1;8211;8211;0:18:28:00;0:18:30:00;9;
s60271;2;196633;8211;8220;0:18:30:00;0:19:17:00;1;-
s60271;2;-1;8220;8220;0:19:17:00;0:19:39:00;9;
s60271;2;196618;8220;8211;0:19:39:00;0:20:28:00;1;-
s60271;2;-1;8211;0;0:20:28:00;0:20:34:00;3;
s60271;-1;P;-1;-1;0:20:34:00;0:22:15:00;8;
s60271;6;-1;0;8206;0:22:15:00;0:22:15:00;4;
s60271;6;65565;8206;8203;0:22:15:00;0:22:41:00;1;-
